,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:1904029,BP,GO:1904029,regulation of cyclin-dependent protein kinase activity,10/335,110/20610,1.25363938548015e-05,0.00387271500977217,0.00363592576477655,CDK4/CDKN3/ACTB/MAPRE3/TFAP4/CDC6/GTPBP4/CCNI/CCNJL/CDK5R2,10
GO:0007059,BP,GO:0007059,chromosome segregation,18/335,340/20610,1.27812376560138e-05,0.00387271500977217,0.00363592576477655,CDC27/CENPQ/NUP37/SEH1L/CDC6/OIP5/NCAPG/TTK/NR3C1/MACROH2A1/VPS4B/NAA50/NUSAP1/CENPE/NCAPD3/BUB3/SKA3/KIF18B,18
GO:0007093,BP,GO:0007093,mitotic cell cycle checkpoint,13/335,193/20610,1.74305709628516e-05,0.00478224583520776,0.00448984518660725,TIPIN/AURKA/CDC6/TTK/ARID3A/CDK2/SOX4/BUB3/NAE1/TOPBP1/RFWD3/FOXO4/TFDP1,13
GO:0000819,BP,GO:0000819,sister chromatid segregation,13/335,194/20610,1.84134878143313e-05,0.00478224583520776,0.00448984518660725,CDC27/SEH1L/CDC6/NCAPG/TTK/MACROH2A1/VPS4B/NAA50/NUSAP1/CENPE/NCAPD3/BUB3/KIF18B,13
GO:0010948,BP,GO:0010948,negative regulation of cell cycle process,20/335,424/20610,2.27892240554799e-05,0.00552410791104832,0.0051863476218892,CDK4/RAD51/AURKA/TFAP4/ZNF268/CDC6/TTK/MACROH2A1/ARID3A/APAF1/CDK2/SOX4/KLF4/BUB3/NAE1/TOPBP1/RFWD3/ATF5/FOXO4/TFDP1,20
GO:0000082,BP,GO:0000082,G1/S transition of mitotic cell cycle,16/335,299/20610,3.40020286851116e-05,0.00772696101869162,0.00725451177801428,CDK4/CDKN3/AURKA/CDC45/CDC6/ARID3A/CDK2/SOX4/KLF4/SKP2/POLE3/SENP2/TERT/RFWD3/TYMS/TFDP1,16
GO:1901988,BP,GO:1901988,negative regulation of cell cycle phase transition,16/335,301/20610,3.68423541410307e-05,0.00787992939157574,0.00739812721234443,CDK4/AURKA/CDC6/TTK/MACROH2A1/ARID3A/CDK2/SOX4/KLF4/BUB3/NAE1/TOPBP1/RFWD3/ATF5/FOXO4/TFDP1,16
GO:0098687,CC,GO:0098687,chromosomal region,20/349,388/21737,5.31017320019015e-06,0.00241081863288633,0.00212406928007606,CENPQ/RAD51/NUP37/SEH1L/AURKA/OIP5/NCAPG/TTK/MACROH2A1/CDK2/CENPE/BRCA2/NCAPD3/BUB3/TERT/SKA3/DDB1/PURA/H4C3/H4C2,20
GO:0000793,CC,GO:0000793,condensed chromosome,14/349,230/21737,2.28538448111903e-05,0.00518782277214019,0.00457076896223806,RAD51/NUP37/SEH1L/AURKA/NCAPG/MACROH2A1/CDK2/CENPE/BRCA2/NCAPD3/BUB3/TOPBP1/SKA3/FAM9B,14
GO:0005876,CC,GO:0005876,spindle microtubule,7/349,61/21737,5.36675532855098e-05,0.00812168973054049,0.00715567377140131,CDC27/MAPRE3/AURKA/NUSAP1/CENPE/SKA3/KIF18B,7
GO:0015144,MF,GO:0015144,carbohydrate transmembrane transporter activity,7/342,42/19728,7.08600830055954e-06,0.00418783090563069,0.00393086986778408,SLC50A1/SLC23A2/SLC17A5/SLC2A5/SLC2A12/SLC45A1/SLC5A3,7
GO:0005402,MF,GO:0005402,carbohydrate:cation symporter activity,5/342,22/19728,3.14149804055563e-05,0.00928312670984188,0.00871352351248851,SLC23A2/SLC17A5/SLC2A12/SLC45A1/SLC5A3,5
